mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,Bminor_count,BMajor_count,Cminor_count,F#/GbMajor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,D#_Ebminor_count
ESTP,SP,Mbti mitski because I am mentally ill,7kjajGlZkacQbDymISUXnF,16,0.4523749999999999,0.1154439979672683,0.4399375,0.257474521393218,-9.95475,4.112052050578479,0.8125,0.4031128874149275,0.0402374999999999,0.0151190773528016,0.37666370625,0.4101873567055189,0.10566875,0.0236464717241283,0.35375625,0.2500571480515337,115.0195,25.742935610894623,0.026123639375,0.0970979352640278,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
ESTP,SP,ESTP,7ofdCLVPdYmfTONE641cZU,24,0.6544166666666666,0.1749931468637425,0.7491666666666666,0.1695322636131456,-5.113250000000001,2.3348560378300207,0.4583333333333333,0.5089773777040516,0.0927083333333333,0.0829777178926166,0.1004608583333333,0.2000273624647473,0.1742791666666666,0.1379028548406029,0.5450416666666666,0.2730305730876667,134.1639583333333,32.781151557457086,0.1192068533333333,0.2780639506287492,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0
ESTP,SP,estp,4S2IJM3ntFWkpDlLsjW3VN,47,0.7057659574468085,0.1157394398912746,0.7219787234042553,0.1328504372138085,-5.036063829787234,2.029515517301512,0.425531914893617,0.4997686791456113,0.0975489361702127,0.0817871199393529,0.0815981914893617,0.1247242961819036,0.1814829787234042,0.1246718271566856,0.6196170212765958,0.2269295574661967,125.34206382978724,23.80294486841661,0.0049425868085106,0.0187669087466178,2.0,2.0,5.0,3.0,0.0,0.0,5.0,2.0,8.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0
ESTP,SP,yakumo murai,6rFuNq0rlix18JrIlGzQiN,25,0.56976,0.1646947378232427,0.6728399999999999,0.2201264182237107,-7.395639999999999,3.2130079738463144,0.64,0.4898979485566356,0.065972,0.0665157971211851,0.09070204,0.1571722729360154,0.270084,0.2235715725817275,0.5558000000000001,0.2343773666547177,119.82056,28.489475565665767,0.0678961332,0.1583536569339741,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
ESTP,SP,the rogue prince,1uEC4K9TxQ4K4fQFtx7g7D,47,0.4952127659574468,0.1351398528691204,0.7233829787234044,0.1888912216515666,-5.968723404255319,2.913889651323898,0.3829787234042553,0.491368607293056,0.066363829787234,0.0572070511978462,0.1192044961702127,0.2097427224967862,0.2196255319148936,0.1842474239901158,0.4567042553191489,0.236786595314492,123.37544680851062,31.30328716160827,0.0308217251063829,0.0819513686173496,1.0,1.0,3.0,3.0,4.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,7.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0
ESTP,SP,ESTP VIBES🤟😎,0IXSJb5KrMB5K8BuXDuDaJ,50,0.63702,0.1382307284423918,0.65018,0.1886812115496313,-6.821859999999999,2.839872561167749,0.46,0.5034574339058887,0.102966,0.1004326550886875,0.17776744,0.2042551242011193,0.1702299999999999,0.1237958132060488,0.498,0.1970710013975591,121.9763,30.7096668236301,0.0654765678,0.127272514236388,4.0,1.0,4.0,3.0,3.0,0.0,7.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
ESTP,SP,istj estp rivals to coworkers to lovers to exes back to lovers,4YTmKw3P5xHHT1SoZsUkB1,50,0.66282,0.0980103472255113,0.7970200000000002,0.0945372165135109,-4.46546,1.2752173277764165,0.56,0.5014265364224069,0.063028,0.0472802329149275,0.06378761,0.082146101550045,0.176672,0.1193829817974787,0.6861999999999999,0.1907753246355406,120.28874000000002,21.94193194553408,0.0006073196,0.0022908715345946,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,7.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0
ESTP,SP,unhealthy toxic estp 8w7 sx/so 837 SLE chol-sang chaotic neutral VFLE |S|CUEn,7bHnsQKejnUBJGtUSMsccr,50,0.6435,0.1369396187510154,0.7411999999999999,0.1709332128794931,-6.2013,2.440711114593032,0.46,0.5034574339058886,0.100388,0.0774149662269406,0.1194938999999999,0.1815311027520561,0.228438,0.1797734298430972,0.600274,0.2334957735141679,121.12168,28.18690354629545,0.0635697162,0.1914340902041024,3.0,3.0,3.0,1.0,5.0,0.0,3.0,0.0,4.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0
ESTP,SP,c’estposémaisc’estnimp,1RSHkbP6D6Vdy3SZmNGdwO,50,0.6285599999999999,0.1248555344780355,0.45866,0.1304470507954261,-8.796479999999999,1.8299381749342336,0.4,0.4948716593053935,0.111496,0.0893488827060323,0.346592,0.2439004387374621,0.163088,0.1270471656592181,0.3573160000000001,0.1945057234979716,115.08434,29.699115537307968,0.0288454008,0.0978760934865323,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,0.0,2.0
ESTP,SP,Sos Vos.,2HdzsYKIISpZXkuLhoIJ4d,16,0.5668124999999999,0.1448287350631772,0.5929375,0.1873344491366532,-7.4025,2.620285175319663,0.75,0.4472135954999579,0.08255625,0.0858992663433939,0.3214687499999999,0.2728375285006323,0.2413625,0.2195047664630542,0.45975,0.1904204120711152,114.3449375,26.37260670587001,0.00440214125,0.0175727795526292,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
ESTP,SP,estp mix malsf,5L5GCvwlC2zGKEGhqeqw6c,16,0.6276249999999999,0.1275872903806122,0.7313125,0.1898257863586153,-6.2326250000000005,3.1728545691012484,0.6875,0.478713553878169,0.13328125,0.1135973428019628,0.117033375,0.2124147616298123,0.174875,0.1355059432890922,0.4971875,0.1687954259846318,130.016375,37.86928311595912,0.0691091475,0.1562773225606885,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
