mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,C#/DbMajor_count,F#/Gbminor_count,BMajor_count,D#_Ebminor_count,Dminor_count
INTJ,NT,"INTJ,ENTP",1K2VPHOHmPiHRRgPKaPF8I,50,0.61418,0.1518534054102636,0.6694599999999999,0.1993671835522361,-6.644,3.265149719978787,0.58,0.4985693819032897,0.108992,0.1129498874614358,0.24647762,0.2580775590224285,0.209636,0.1677683847524586,0.5276519999999999,0.2246273242324645,128.7543,27.82133403119825,0.0690958878,0.1923285655327438,0.0,7.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,0.0,6.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0
INTJ,NT,Canciones INTJ 🎩🚩♟️✏️🐈‍⬛💜,7mLGFQ9nD2MrlYEwQfnZXl,50,0.58344,0.1541073254426993,0.63342,0.192006812166567,-8.27444,3.848353011937677,0.76,0.4314191105869001,0.058702,0.0508584048398801,0.23448894,0.2641660520384247,0.161486,0.1273427738228516,0.5113920000000001,0.2429576252966675,126.02747999999998,26.1882684844546,0.0661083268,0.1845295035886016,0.0,7.0,3.0,4.0,1.0,1.0,2.0,0.0,4.0,6.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0
INTJ,NT,Ambis📝> INTJ,1vWPMKG7cEzKWQ7f7tOr54,50,0.60428,0.1323094764218361,0.6239,0.1876332995553849,-5.67372,1.7633014378762146,0.8,0.4040610178208844,0.0639219999999999,0.0486154980328247,0.2672692,0.2792039195885915,0.18756,0.1101095224709266,0.4687639999999999,0.1945904781528507,127.243,32.40858283900506,0.0001247338,0.0006072362781803,1.0,7.0,2.0,6.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0
INTJ,NT,INTJ - The Architect,5HojXmbKxssYmxwd5qoz4m,44,0.5690000000000001,0.1438364704536305,0.6302727272727272,0.2011561193580242,-8.337068181818182,3.432521240285422,0.6363636363636364,0.4866070995624795,0.0605818181818181,0.0478855431537427,0.2287341454545454,0.258960170274047,0.1710045454545454,0.1298254104101376,0.4923181818181819,0.2555000553158155,123.482,29.9143386432847,0.0860213861363636,0.2042190928800553,2.0,2.0,1.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0
INTJ,NT, intj 6w5 woman pisces,6jCzRHRPuNtfZTNXfhtOYo,50,0.5569,0.1248231810627026,0.6825999999999999,0.1974310522895607,-6.35596,3.0215078541438647,0.56,0.5014265364224069,0.083782,0.0638467127627746,0.1736340999999999,0.2480843296091932,0.16905,0.1136387944860596,0.425136,0.2135154840822022,124.98534,34.61026854385789,0.0932240387999999,0.2527960749701712,2.0,4.0,0.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,0.0,2.0,3.0,0.0,2.0,5.0,2.0,2.0,1.0
INTJ,NT,//slytherin//intj,6tpk5zglUxsYykNZ8C7OW8,50,0.51748,0.1700074716245238,0.5291279999999999,0.215050375721502,-8.56504,3.919324322025991,0.4,0.4948716593053935,0.064142,0.0508420928373491,0.37648564,0.3253180305075898,0.161662,0.127939770411945,0.3486179999999999,0.2073402238951669,115.00864,30.301765501039704,0.0596729188,0.1721851921594288,1.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,5.0,3.0,1.0,0.0,7.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0
INTJ,NT,INTJ,3YPv5vw2O5Pe2pZDZCdS6V,50,0.6811800000000001,0.1310085976303129,0.60828,0.1559166496325939,-6.46794,1.8077231977246508,0.36,0.4848732213850611,0.1517019999999999,0.137907408289854,0.19329316,0.2037316023067203,0.16898,0.1048617359834815,0.49422,0.1947667668504762,129.27470000000002,33.89296703534797,0.0301484902,0.1076215780489091,0.0,4.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,5.0,0.0,3.0,5.0,5.0,2.0,2.0,2.0
INTJ,NT,INTJ song's,0XVH83hcjxN1EumOerKwyM,17,0.5067058823529411,0.1414168327612922,0.6911764705882352,0.1878237988428641,-6.836,2.6749618922519254,0.4117647058823529,0.5072996561958925,0.1294588235294117,0.2098579968062437,0.2808433764705882,0.303046353083665,0.1391058823529412,0.0763564705066656,0.4261176470588235,0.2320314855663292,131.53982352941176,32.90849822848821,0.1683799076470588,0.3506562846011078,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
INTJ,NT,pov: you're an intj villain,6Ki6rdncByHUKeDuDZtm66,50,0.65018,0.1388225544810822,0.8020200000000002,0.1626933374198719,-5.642919999999999,3.2587196549239628,0.64,0.484873221385061,0.095302,0.0789075731343904,0.09439016,0.1450184211743192,0.244138,0.2137361189095811,0.429354,0.2750816763383974,136.66065999999998,26.840265800266952,0.5172342141999999,0.37727949503631,0.0,5.0,1.0,5.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,7.0,2.0,2.0,0.0,1.0
INTJ,NT,intj ?,6uTGzTKqtmtGCLRNnN2BSJ,25,0.58216,0.1821134444972876,0.6360399999999999,0.1924054919521096,-7.43052,3.875100688154223,0.6,0.5,0.087212,0.0910690412086712,0.28509352,0.2770204048196209,0.132544,0.0819575503944979,0.422196,0.2341979619894246,125.00792,29.71443928451845,0.0333716863999999,0.1001552640967782,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0
