mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,EMajor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,BMajor_count,Cminor_count,C#/Dbminor_count,C#/DbMajor_count,Eminor_count,Fminor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Dminor_count,G#/Abminor_count
ISFJ,SJ,isfj-t,7vqZRjX3JOcUZO9wztf2kU,50,0.64902,0.1254322306657898,0.5533,0.1568105902816828,-7.25774,2.590630140112081,0.66,0.4785181206984066,0.064222,0.041043054994302,0.3808102,0.3067864531937884,0.170162,0.1056385498783856,0.44827,0.2291114925541889,119.59114,27.673226186916573,0.0176166288,0.0830889607666794,2.0,4.0,1.0,2.0,0.0,4.0,3.0,3.0,1.0,7.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0
ISFJ,SJ,Mr. Isfj<3,1eH4NTY01A8WEXZ7Nqywau,27,0.6092592592592593,0.1211793307434489,0.5267037037037038,0.2009364259994869,-6.779111111111113,2.409239783278811,0.8518518518518519,0.3620139928982457,0.0603444444444444,0.062778997794665,0.4624962962962962,0.3346417653844199,0.1487037037037037,0.1020822122736281,0.4535925925925926,0.1825760661834402,106.3118148148148,22.82583172136515,7.312592592592593e-06,3.09140139484435e-05,4.0,4.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISFJ,SJ,ISFJ MOOD,1XuPRMWuVqpTw7bBA3ebmT,50,0.5539000000000001,0.1217280760128735,0.5006579999999999,0.174077730808008,-8.228699999999998,2.5635381978501384,0.72,0.4535573676110727,0.0703019999999999,0.0914696057246808,0.4557934,0.2818159635519143,0.13736,0.0703496805324687,0.359708,0.1766883060242365,118.08648,32.22591986574579,0.031497328,0.138157796275303,2.0,5.0,0.0,2.0,2.0,4.0,8.0,2.0,1.0,6.0,0.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
ISFJ,SJ,isfj ,5jcdZXAeZr3XAjPd34SJwZ,40,0.555525,0.1362181484764749,0.4975424999999999,0.2251835899284779,-9.156275,4.417964202171252,0.7,0.464095480892257,0.041595,0.0252697036602514,0.42122525,0.3371772521373739,0.2147575,0.1902713391617619,0.380865,0.2180444809360389,116.035025,29.67561883267008,0.08939080425,0.2284865814187096,6.0,4.0,0.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0
ISFJ,SJ,soy isfj,2Qm1tnIShXOJ4Bne2o9bgG,39,0.5064641025641026,0.1602292116201357,0.4178820512820512,0.2243901699129804,-12.510589743589744,4.797228562398506,0.6923076923076923,0.4675719001195178,0.038251282051282,0.0138684775431812,0.552943082051282,0.3713257317495204,0.1500589743589743,0.1019989337352646,0.4676820512820513,0.2544129081380512,116.55343589743592,27.69014405770711,0.2352126376923076,0.3601113411045975,7.0,6.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0
ISFJ,SJ,isfj √,1PB2vDlr0NUVjFS4abediE,50,0.56498,0.1413010232930868,0.55536,0.2034477077676678,-8.3135,3.5023623820361647,0.76,0.4314191105869,0.0616959999999999,0.0698148658516046,0.4298637999999999,0.3316711571439152,0.18986,0.1528065002891311,0.425576,0.2436124913522644,123.52254,28.46263685363028,0.0442236204,0.1417120205808429,6.0,4.0,0.0,2.0,2.0,4.0,3.0,1.0,6.0,2.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0
ISFJ,SJ,ISFJ,1sBg1Q4OBzCISSiIitF0dM,50,0.5687599999999999,0.153570639200629,0.5373,0.1936513013914759,-7.83144,3.048847116735191,0.84,0.3703280399090204,0.061408,0.046064381919577,0.3435825199999999,0.3260100396708252,0.149758,0.1060905948821524,0.4192519999999999,0.2324464285352122,126.07246,29.91221750676196,0.0189015286,0.0859144193069317,11.0,5.0,0.0,1.0,4.0,3.0,1.0,0.0,5.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0
ISFJ,SJ,isfj y cáncer mood,2aLxGVQWs5vfpMKtcCdKIU,50,0.5355399999999999,0.1212828049457555,0.547108,0.2181456439526359,-7.917820000000002,3.302743044803819,0.68,0.4712120714991611,0.07136,0.0607877740124423,0.3649521999999999,0.330186102170412,0.173976,0.1376062818333523,0.406904,0.2009817424543831,133.88147999999998,28.47875127338677,0.0187745483999999,0.068015291793049,8.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,5.0,3.0,3.0,3.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
ISFJ,SJ,isfj playlist ♫ 🕊,6g3iJpwf7glTlPQ21vUZSp,50,0.5421,0.1212400637628688,0.4576859999999999,0.1992108697243364,-8.42708,3.1367651466608275,0.96,0.1979486637221575,0.046184,0.0402685645360735,0.4705699599999999,0.3341057546482245,0.146298,0.114150796237401,0.366132,0.189532821388997,119.0149,30.75315049946684,0.0140792201999999,0.0734434693035339,8.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
ISFJ,SJ,syd the isfj ,5d9BXO7b6Rn2d27oQjeBUK,48,0.5509583333333333,0.1389858340146131,0.6384166666666666,0.2170943351508968,-7.012687500000001,3.192186279134019,0.6875,0.4684174352188668,0.0626854166666666,0.0545823055639257,0.3055588541666666,0.2807805435560245,0.2137854166666667,0.1724448613567053,0.4849791666666667,0.2448926373169613,126.78179166666666,31.858539180596942,0.0818652304166666,0.193384736694988,3.0,3.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,7.0,5.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0
