mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,enfj-t,6AzFXFCqXzcex5DZKbZvcs,29,0.5719310344827586,0.1410060614285992,0.6137827586206897,0.2300365903642373,-7.67203448275862,2.869281237557072,0.9310344827586208,0.2578807147775638,0.0542620689655172,0.0333402953731142,0.325693448275862,0.3149355542269817,0.1631068965517241,0.0930185347545411,0.5223275862068966,0.2314649879363919,116.90631034482756,28.95339630473112,0.1044265268965517,0.2599800833656603,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0
ENFJ,NF,ENFJ-T,6WcFtsygWYciBsdPzFZdTP,50,0.6141599999999999,0.1528073830890726,0.7153200000000001,0.1591922775278053,-6.309499999999999,2.218669653331078,0.52,0.5046720495044485,0.0625839999999999,0.0517628081754079,0.122961114,0.1673926427136668,0.182472,0.1525005801795588,0.580784,0.2478935941578358,123.68742,25.17850655480193,0.069746526,0.1832198419694786,3.0,3.0,2.0,4.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,2.0,0.0,4.0
ENFJ,NF,enfj vibe,5je4uzUuQlwuc3p891b1JK,10,0.5938000000000001,0.1307795430825818,0.6556,0.084927681653929,-5.7874,1.2314896309393395,0.7,0.4830458915396479,0.05988,0.0269968228583373,0.149999,0.1813169392374701,0.1487099999999999,0.0668041490727434,0.4279,0.1601488543685391,133.1868,33.44425222100537,9.833000000000002e-05,0.0002381421426608,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ENFJ,NF,enfj things,70mW8VmTQhuccUdrlaHa90,40,0.643425,0.1257263792364094,0.7042499999999999,0.131357166261324,-5.405525,1.5667958646263578,0.625,0.4902903378454601,0.1117625,0.089105951591206,0.1118385,0.1434639396405225,0.1916225,0.144678624380259,0.543825,0.2329412699725196,133.486775,29.869610848320875,0.000815308,0.0039735987043937,1.0,2.0,1.0,3.0,0.0,1.0,1.0,4.0,0.0,2.0,4.0,3.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0
ENFJ,NF,highkey ENFJ.,2VyANDItqaqSLKorS3w0Ka,22,0.72,0.143035460138886,0.7744999999999999,0.171543899698618,-5.575,2.847398445030464,0.6363636363636364,0.4923659639173309,0.13305,0.0875605463991305,0.0797150454545454,0.1437201453475194,0.234640909090909,0.1942769149315601,0.4453863636363637,0.2531274820839238,130.59072727272726,27.873241389209216,0.1137760077272727,0.2649037355295954,1.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0
ENFJ,NF,"enfj, 2w3",51mdshTWG3cW8Era2zWy5f,27,0.6467037037037038,0.1390118464278978,0.6920370370370371,0.1646853600241011,-6.897518518518519,1.915893833785208,0.8148148148148148,0.3958473906635695,0.0815518518518518,0.0737193658429377,0.2335150851851852,0.2470910880740677,0.1644666666666667,0.1125360591783123,0.636888888888889,0.2147208085887943,128.2536296296296,24.309112571449333,0.0326611066666666,0.074823924539723,0.0,6.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
ENFJ,NF,enfj ,4ySIB3wXJXZ5nm9wzEHXda,50,0.5982,0.1052408316817252,0.7337599999999999,0.1655190426186297,-5.802859999999999,1.6403247813049908,0.68,0.4712120714991612,0.077868,0.0561311854098076,0.1267914,0.1602636399876205,0.211886,0.1294373270611483,0.5409,0.1899673709899053,125.54626,30.32899361849337,0.0282062519999999,0.1324564741716866,0.0,2.0,3.0,5.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,0.0,1.0
ENFJ,NF,ENFJ kpop songs <3,4z8RIg2iYb3vtx5e2pX5Zr,50,0.6612000000000002,0.1049516895664721,0.78126,0.1515561201371307,-3.90662,1.876763680881946,0.66,0.4785181206984066,0.071058,0.0433419488086381,0.1846481999999999,0.1977159051718358,0.20709,0.1545330652815316,0.60754,0.182901692117902,118.1427,23.74992573242953,4.5956e-06,2.3187760508245626e-05,1.0,5.0,0.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0,4.0,2.0
ENFJ,NF,enfj,1qXwjSUtmIsSc0jJX1GQJ9,50,0.6736399999999999,0.099584188565479,0.4579479999999999,0.1759876424696939,-9.97968,3.6750725187347233,0.72,0.4535573676110727,0.0623299999999999,0.0379629370812735,0.5183148,0.279528795079381,0.1763499999999999,0.1108216976655266,0.52646,0.1937865657397965,120.42382,31.422991485625843,0.0134130122,0.0398766061962745,0.0,6.0,3.0,6.0,1.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,5.0
ENFJ,NF,<3®️.ENFJ,0XuSN6jLQydCktPGAhc1p1,50,0.5672,0.1268807893019173,0.53554,0.1950369101645394,-8.4516,2.8656735789730985,0.8,0.4040610178208843,0.071066,0.0594398155914957,0.3755699999999999,0.3232952091907863,0.12947,0.0682633383841351,0.344498,0.1640925827397572,127.66058,30.82612323530092,0.0102522906,0.0689561729580612,3.0,11.0,1.0,2.0,0.0,4.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,4.0,1.0,0.0
