mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,G#/Abminor_count
INTP,NT,INTP-T songs,1HmfPBQmsmHC7sw22SZjfp,50,0.55896,0.1390184189822576,0.6798199999999999,0.1600823372326802,-6.649240000000001,2.0197203237385244,0.56,0.5014265364224069,0.052068,0.0308581179740106,0.1896898446,0.2256224799625333,0.189768,0.1192521294722801,0.469506,0.2184575038392443,123.73896,30.139426189275326,0.1034961478,0.2385018168730364,1.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,4.0,5.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0
INTP,NT,INTP-T songs,1HmfPBQmsmHC7sw22SZjfp,50,0.55896,0.1390184189822576,0.6798199999999999,0.1600823372326802,-6.649240000000001,2.0197203237385244,0.56,0.5014265364224069,0.052068,0.0308581179740106,0.1896898446,0.2256224799625333,0.189768,0.1192521294722801,0.469506,0.2184575038392443,123.73896,30.139426189275326,0.1034961478,0.2385018168730364,1.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,4.0,5.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0
INTP,NT,intp 🌙🧋🫥🎧,0y63wAOER3j2iQVi6SDTLi,50,0.58632,0.1593309275997473,0.607768,0.2055663688844226,-8.043120000000002,3.6965253383607233,0.52,0.5046720495044485,0.09015,0.0981859195400153,0.307153258,0.2945452000471193,0.180444,0.1347666663200526,0.416718,0.2387870742151779,122.74446000000002,34.47267478666759,0.085096434,0.2037140102678114,0.0,4.0,0.0,0.0,2.0,3.0,1.0,4.0,5.0,0.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,3.0
INTP,NT,kulağı sağlam intp dostlarıma,2ItD6a12vGIi4oSY4j8hxf,50,0.4640599999999999,0.1552520544410388,0.5560299999999999,0.2010196053490651,-9.8857,4.294696460015942,0.6,0.4948716593053935,0.036886,0.0099253748194273,0.316581546,0.3309976008441254,0.151804,0.0991088413445191,0.2852159999999999,0.2200066393803345,118.71288,28.58503782639314,0.3703941124,0.361463434045858,1.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,7.0,1.0,6.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0
INTP,NT,non-stereotyped intp playlist,6Ta8EEGiuxj2w1nl0yVbwS,8,0.4443749999999999,0.1677497604852452,0.5529999999999999,0.1975875935954915,-8.149750000000001,3.3997390971325183,0.75,0.4629100498862757,0.0382625,0.0096618450618916,0.2336758749999999,0.2445006324247955,0.1175,0.0333831009430135,0.278875,0.1843338876681581,105.962625,31.34561210549025,0.0525036562499999,0.0900610954762037,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
INTP,NT,INTP JAM,34gUzmYbIG4Y8EDvZR9e9z,47,0.5579999999999999,0.1306367349627934,0.5831276595744682,0.1606785363525674,-6.719021276595745,2.058950687685374,0.6170212765957447,0.4913686072930561,0.0552361702127659,0.0446648311486298,0.3261930765957446,0.2978797611574358,0.1686106382978723,0.0822726306491505,0.4245723404255317,0.2098675780230784,124.59676595744678,34.653217147977806,0.0103896974468085,0.0321795703906616,2.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,3.0,3.0,1.0,9.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0
INTP,NT,intp,7MlwGuzWXsJKjUvHUEO9mQ,34,0.5153235294117647,0.1620190263028866,0.6507058823529411,0.2167784135249863,-8.04120588235294,3.6627818520520607,0.6470588235294118,0.485071250072666,0.0656382352941176,0.0665363287175937,0.2889078235294117,0.342682098391716,0.1809205882352941,0.1160420320385828,0.4370588235294117,0.2107234207944177,125.30355882352944,32.360527711537124,0.2480441982352941,0.3588768574475162,2.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
INTP,NT,INTP,7FW5gr6SL3MTrMazlSAVGL,30,0.6010333333333334,0.1392981132959671,0.7483333333333334,0.1645185941348027,-6.731233333333333,3.3275049540970225,0.5,0.5085476277156078,0.1034166666666666,0.106998675735709,0.1879394133333334,0.257024372892871,0.1875,0.1466779300795242,0.5272666666666667,0.2542936035011679,130.43936666666664,30.78825961470213,0.1860352826666666,0.3100077134027769,2.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
INTP,NT,INTP ,4LpG1OKgxp796rZb1fYkQv,39,0.5424615384615383,0.1469328249940385,0.6967948717948718,0.1803063445022007,-7.355282051282051,2.4891250623960843,0.4615384615384615,0.505035373756076,0.0441230769230769,0.0173551063551679,0.1513113102564102,0.2174519892804105,0.197525641025641,0.1571436280972027,0.4352564102564103,0.2494259343655808,115.5265128205128,29.29514809555706,0.1923953005128205,0.2989467084442294,0.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0,6.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,3.0,2.0
INTP,NT,Intp Vibes,59snEIxGLK7DyjhhoBH56r,35,0.5284857142857143,0.1426382448979341,0.6239428571428572,0.2108937483882434,-8.455342857142858,2.318346836748588,0.7714285714285715,0.4260429614980358,0.0501542857142857,0.0491429448162204,0.22698704,0.2954343273051262,0.1609085714285714,0.1224877986034637,0.3755742857142857,0.2293177391651119,113.4830857142857,33.97478982177246,0.2701690782857143,0.3645641112321406,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,6.0,2.0,2.0,3.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
